Time resolution is 1 ps
[15000 ns] >>> SELECT SIGNAL -- PC=0 | OPCODE=000 | INSTR=00 | ACC=00 | ALU_RESULT=00
[95000 ns] >>> SELECT SIGNAL -- PC=30 | OPCODE=111 | INSTR=fe | ACC=00 | ALU_RESULT=00
[175000 ns] >>> SELECT SIGNAL -- PC=3 | OPCODE=111 | INSTR=e3 | ACC=00 | ALU_RESULT=00
[255000 ns] >>> SELECT SIGNAL -- PC=4 | OPCODE=101 | INSTR=ba | ACC=00 | ALU_RESULT=00
[325000 ns] >>> SELECT SIGNAL -- PC=6 | OPCODE=001 | INSTR=20 | ACC=00 | ALU_RESULT=00
[405000 ns] >>> SELECT SIGNAL -- PC=7 | OPCODE=101 | INSTR=bb | ACC=ff | ALU_RESULT=ff
[485000 ns] >>> SELECT SIGNAL -- PC=8 | OPCODE=001 | INSTR=20 | ACC=ff | ALU_RESULT=ff
[565000 ns] >>> SELECT SIGNAL -- PC=10 | OPCODE=111 | INSTR=ea | ACC=ff | ALU_RESULT=ff
[645000 ns] >>> SELECT SIGNAL -- PC=11 | OPCODE=110 | INSTR=dc | ACC=ff | ALU_RESULT=ff
[725000 ns] >>> SELECT SIGNAL -- PC=12 | OPCODE=101 | INSTR=ba | ACC=00 | ALU_RESULT=00
[805000 ns] >>> SELECT SIGNAL -- PC=13 | OPCODE=110 | INSTR=dc | ACC=00 | ALU_RESULT=00
[885000 ns] >>> SELECT SIGNAL -- PC=14 | OPCODE=101 | INSTR=bc | ACC=00 | ALU_RESULT=00
[955000 ns] >>> SELECT SIGNAL -- PC=16 | OPCODE=001 | INSTR=20 | ACC=00 | ALU_RESULT=00
[1035000 ns] >>> SELECT SIGNAL -- PC=17 | OPCODE=100 | INSTR=9b | ACC=ff | ALU_RESULT=ff
[1115000 ns] >>> SELECT SIGNAL -- PC=18 | OPCODE=001 | INSTR=20 | ACC=ff | ALU_RESULT=ff
[1195000 ns] >>> SELECT SIGNAL -- PC=20 | OPCODE=111 | INSTR=f4 | ACC=ff | ALU_RESULT=ff
[1275000 ns] >>> SELECT SIGNAL -- PC=21 | OPCODE=100 | INSTR=9b | ACC=00 | ALU_RESULT=00
[1345000 ns] >>> SELECT SIGNAL -- PC=23 | OPCODE=001 | INSTR=20 | ACC=00 | ALU_RESULT=00
$finish called at time : 1510 ns : File "D:/Vivado/Git_Simple_CPU_RISC_Design/Source/Simple_RISC_CPU/Simple_RISC_CPU.srcs/sim_1/new/tb_cpu_top.v" Line 51
